MESAPlotXvM.py
$X_{\rm core} = $0.35
M/Msun,Zeta
EOH
0.16218,0.70397
0.16982,0.72043
0.17783,0.70926
0.18621,0.68407
0.19498,0.72472
0.20417,0.83514
0.21380,0.69455
0.22387,0.97384
0.23442,0.77508
0.24547,0.88882
0.25704,0.78819
0.26915,0.83701
0.28184,0.72710
0.29512,0.88737
0.30903,0.77272
0.32359,0.77266
0.33884,0.82652
0.35481,0.85484
0.37154,0.21358
0.38905,0.92120
0.40738,0.87814
0.42658,1.06013
0.44668,1.00783
0.46774,1.13146
0.48978,1.08813
0.51286,1.16194
0.53703,1.25163
0.56234,1.24342
0.58884,1.13070
0.61659,0.92213
0.64565,0.77240
0.67608,0.81010
0.70795,0.76528
0.74131,0.78124
0.77625,0.84143
0.81283,0.94830
0.85114,1.02137
0.89125,1.06185
0.93325,1.20019
0.97724,1.26407
1.02329,1.35231
1.07152,1.32837
1.12202,1.47851
1.17490,1.83989
1.23027,1.65947
1.28825,1.55421
1.34896,1.56952
1.41254,1.30535
1.47911,1.07154
1.54882,0.87758
1.62181,0.78527
1.69824,0.61660
1.77828,0.80103
1.86209,0.70350
1.94984,0.59366
2.04174,0.62415
2.13796,0.59257
2.23872,0.78248
2.34423,0.59054
2.45471,0.75422
2.57040,0.58213
2.69153,0.59666
2.81838,0.46248
2.95121,0.55995
3.09030,0.82674
3.23594,0.57050
3.38844,0.56198
3.54813,0.56864
3.71535,0.57812
3.89045,0.56704
4.07380,0.54356
4.26580,0.42095
4.46684,0.63062
4.67735,0.70008
4.89779,0.55791
5.12861,0.45146
5.37032,0.58366
5.62341,0.57985
5.88844,0.63790
6.16595,0.52418
6.45654,0.53327
6.76083,0.41372
7.07946,0.74313
7.41310,0.37491
7.76247,0.66975
8.12831,0.47976
8.51138,0.67000
8.91251,0.49712
9.33254,0.76325
9.77237,0.49078
10.23293,0.62950
10.71519,0.67068
11.22018,0.59524
11.74898,0.60864
12.30269,0.62904
12.88250,0.41124
13.48963,0.55426
14.12538,0.76394
